FAUX;Jakob;Bächtold;m;BE;CN;Groupe indépendant;Membre;Alliance des Indépendants;1979-11-25;1978-09-18;
FAUX;Jakob;Bächtold;m;BE;CN;Groupe indépendant;Membre;Alliance des Indépendants;1975-11-30;1959-12-07;
FAUX;Kurt;Bächtold;m;SH;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1979-11-25;1961-03-14;
FAUX;Elvira;Bader;f;SO;CN;Groupe PDC/PEV/PVL;Membre;Parti démocrate-chrétien suisse;2011-12-04;2007-12-03;
FAUX;Elvira;Bader;f;SO;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;2007-12-02;2003-12-01;
FAUX;Elvira;Bader;f;SO;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;2003-11-30;1999-12-06;
FAUX;François-X.;Badoud;m;FR;CN;;Membre;Parti radical-démocratique suisse;1851-12-01;1848-11-07;
FAUX;Henri;Badoux;m;VD;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1959-12-06;1951-12-06;
VRAI;Jacqueline;Badran;f;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;;2015-11-30;
FAUX;Jacqueline;Badran;f;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;2015-11-29;2011-12-05;
FAUX;Gilbert;Baechtold;m;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;1983-06-09;1967-02-27;
FAUX;Thomas;Baerlocher;m;BS;CN;Non inscrit;Membre;Organisations progressistes de Suisse;1991-11-24;1990-02-05;
FAUX;Dominique;Baettig;m;JU;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Giovanni;Baggi;m;TI;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;1991-11-24;1987-03-02;
FAUX;Traugott-Philipp Eduard;Bähler;m;BE;CN;;Membre;Parti radical-démocratique suisse;1908-12-06;1887-04-13;
FAUX;Emil A.;Baldinger;m;AG;CN;;Membre;Conservateurs;1907-01-05;1876-03-07;
FAUX;Wilhelm K.;Baldinger;m;AG;CN;;Membre;Conservateurs;1866-12-03;1852-07-06;
FAUX;Karl L.;Baldinger;m;AG;CN;;Membre;Conservateurs;1852-06-02;1851-12-02;
FAUX;Luigi A.;Balestra;m;TI;CN;Groupe conservateur-catholique;Membre;Conservateurs;1928-12-02;1919-12-01;
FAUX;Francesco;Balli;m;TI;CN;Centre;Membre;Conservateurs;1917-12-02;1911-12-04;
FAUX;Francesco;Balli;m;TI;CE;Centre;Membre;Conservateurs;1892-12-02;1885-12-08;
FAUX;Valentino Alessandro;Balli;m;TI;CN;Centre;Membre;Libéral;1854-10-02;1852-07-06;
FAUX;Walter;Ballmoos;m;TG;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1971-11-28;1967-12-04;
FAUX;Eduard;Bally;m;SO;CN;;Membre;Parti radical-démocratique suisse;1917-12-02;1902-12-01;
FAUX;Carl Franz;Bally;m;SO;CN;Centre;Membre;Parti radical-démocratique suisse;1878-12-02;1875-12-07;
FAUX;Iwan;Bally;m;SO;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1943-12-05;1938-02-07;
FAUX;Josef Anton;Balmer;m;LU;CN;;Membre;Conservateurs;1928-12-02;1907-09-16;
FAUX;Peter;Balmer;m;BE;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1935-12-01;1928-03-03;
FAUX;Boris;Banga;m;SO;CN;Groupe socialiste;Membre;Parti socialiste suisse;2007-12-02;2003-12-01;
FAUX;Boris;Banga;m;SO;CN;Groupe socialiste;Membre;Parti socialiste suisse;2003-11-30;1995-12-04;
FAUX;Gottfried;Bangerter;m;BE;CN;;Membre;Parti radical-démocratique suisse;1902-11-30;1890-12-02;
FAUX;Käthi;Bangerter;f;BE;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2003-11-30;1995-12-04;
FAUX;Marlies;Bänziger;f;ZH;CN;Groupe des Verts;Membre;Parti écologiste suisse;2011-12-04;2007-12-03;
FAUX;Rosmarie;Bär;f;BE;CN;Groupe écologiste;Membre;Liste libre (BE);1995-12-03;1987-11-30;
FAUX;Guillaume;Barazzone;m;GE;CN;Groupe PDC-PEV;Membre;Parti démocrate-chrétien suisse;2015-11-29;2013-12-09;
VRAI;Guillaume;Barazzone;m;GE;CN;Groupe PDC;Membre;Parti démocrate-chrétien suisse;;2015-11-30;
FAUX;Ernst;Barben;m;BE;CN;Non inscrit;Membre;Jeunes paysans;1947-11-30;1943-12-06;
FAUX;Pier Felice;Barchi;m;TI;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1983-11-27;1971-11-29;
FAUX;Cyprien;Barlatey;m;VS;CE;;Membre;Conservateurs;1871-06-02;1869-07-06;
FAUX;Remigius;Bärlocher;m;SG;CN;Groupe conservateur-catholique sociale;Membre;Parti conservateur chrétien-social;1971-11-28;1963-12-02;
FAUX;Pierre;Barman;m;VS;CE;Groupe conservateur-catholique;Membre;Conservateurs;1943-12-05;1923-11-01;
FAUX;Louis-G.;Barman;m;VS;CN;;Membre;Parti radical-démocratique suisse;1878-12-02;1860-12-04;
FAUX;Maurice;Barman;m;VS;CN;;Membre;Parti radical-démocratique suisse;1857-12-07;1848-11-07;
FAUX;Louis;Barras;m;FR;CN;Groupe conservateur-catholique sociale;Membre;Parti conservateur chrétien-social;1983-11-27;1963-12-02;
FAUX;Jean-Louis;Barrelet;m;NE;CE;Groupe radical-démocratique;Président(e);Parti radical-démocratique suisse;1969-06-01;1945-03-19;
FAUX;Jean-Louis;Barrelet;m;NE;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1969-06-01;1945-03-19;
FAUX;Jean-Louis;Barrelet;m;NE;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1969-06-01;1945-03-19;
VRAI;Angelo;Barrile;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;;2015-12-08;
FAUX;Luc;Barthassat;m;GE;CN;Groupe PDC/PEV/PVL;Membre;Parti démocrate-chrétien suisse;2011-12-04;2007-12-03;
FAUX;Luc;Barthassat;m;GE;CN;Groupe PDC-PEV;Membre;Parti démocrate-chrétien suisse;2013-12-05;2011-12-05;
FAUX;Luc;Barthassat;m;GE;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;2007-12-02;2005-05-30;
FAUX;Ernst;Bärtschi;m;BE;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1951-12-02;1939-12-04;
FAUX;Konrad;Basler;m;ZH;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;1991-11-24;1977-03-07;
FAUX;Antonio;Battaglini;m;TI;CE;;Membre;Parti radical-démocratique suisse;1907-12-01;1893-12-05;
FAUX;Carlo;Battaglini;m;TI;CN;;Membre;Parti radical-démocratique suisse;1875-10-02;1862-07-08;
FAUX;Carlo;Battaglini;m;TI;CN;;Membre;Parti radical-démocratique suisse;1850-10-02;1848-11-07;
FAUX;Carlo;Battaglini;m;TI;CE;;Membre;Parti radical-démocratique suisse;1856-02-02;1855-07-03;
FAUX;Carlo;Battaglini;m;TI;CN;;Membre;Parti radical-démocratique suisse;1887-10-02;1882-06-06;
FAUX;Charles-H.-A.;Baud;m;VD;CN;Gauche;Membre;Parti radical-démocratique suisse;1893-12-04;1866-12-04;
FAUX;Maurice;Baudat;m;VD;CN;Groupe libéral-démocratique;Membre;Parti libéral suisse;1947-11-30;1945-09-18;
FAUX;Robert;Bauder;m;BE;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1955-12-04;1954-12-06;
FAUX;Raymond;Baudère;m;VD;CN;Groupe conservateur-catholique sociale;Membre;Parti conservateur chrétien-social;1967-02-01;1962-09-17;
VRAI;Philippe;Bauer;m;NE;CN;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;;2015-11-30;
FAUX;Albert;Bauer;m;TG;CN;Groupe socialiste;Membre;Parti socialiste suisse;1970-01-11;1951-12-03;
FAUX;Monique;Bauer-Lagier;f;GE;CE;Groupe libéral et évangélique;Membre;Parti libéral suisse;1987-11-10;1975-12-01;
FAUX;Heinrich;Baumann;m;ZH;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1929-12-01;1922-12-04;
FAUX;Isidor;Baumann;m;UR;CE;Groupe PDC-PEV;Membre;Parti démocrate-chrétien suisse;2015-11-29;2011-12-05;
FAUX;Johannes;Baumann;m;AR;CE;Groupe radical-démocratique;Président(e);Parti radical-démocratique suisse;1934-03-22;1911-12-04;
FAUX;Jakob;Baumann;m;AG;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1942-08-23;1919-12-01;
FAUX;Ruedi;Baumann;m;BE;CN;Groupe écologiste;Membre;Parti écologiste suisse;2003-11-30;1995-12-04;
FAUX;Ruedi;Baumann;m;BE;CN;Groupe écologiste;Membre;Parti écologiste suisse;1995-12-03;1991-11-25;
FAUX;J. Alexander;Baumann;m;TG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2007-12-02;2003-12-01;
FAUX;Stephanie;Baumann;f;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1995-12-03;1994-12-05;
FAUX;Rudolf;Baumann;m;BE;CN;Groupe de politique sociale;Membre;Grutléens;1922-12-03;1921-06-06;
FAUX;Johann Kaspar;Baumann;m;ZH;CN;Centre;Membre;Libéral;1884-12-01;1878-12-03;
FAUX;Johannes;Baumann;m;AR;CF;;;Parti radical-démocratique suisse;1940-12-31;1934-03-22;
VRAI;Isidor;Baumann;m;UR;CE;Groupe PDC;Membre;Parti démocrate-chrétien suisse;;2015-11-30;
FAUX;Johann Ulrich;Baumann;m;TG;CE;Gauche démocratique;Membre;Démocrates;1890-10-02;1889-03-26;
FAUX;Stephanie;Baumann;f;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;2003-11-30;1995-12-04;
FAUX;Johannes;Baumann;m;AR;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1934-03-22;1911-12-04;
FAUX;Johannes;Baumann;m;AR;CE;;Membre;Parti radical-démocratique suisse;1934-03-22;1911-12-04;
FAUX;J. Alexander;Baumann;m;TG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2003-11-30;1995-12-04;
FAUX;J. Alexander;Baumann;m;TG;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Walter;Baumann;m;AG;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1979-11-25;1966-03-14;
FAUX;Peter;Baumberger;m;ZH;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;1999-12-05;1995-12-04;
FAUX;Georg;Baumberger;m;ZH;CN;Groupe conservateur-catholique;Membre;Conservateurs;1931-05-21;1919-12-01;
FAUX;Peter;Baumberger;m;ZH;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;1995-12-03;1991-11-25;
FAUX;Hans Ulrich;Baumberger;m;AR;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1983-11-27;1975-12-01;
FAUX;Hans Ulrich;Baumberger;m;AR;CN;;;Parti radical-démocratique suisse;1975-11-30;1971-11-29;
FAUX;Gallus Jakob;Baumgartner;m;SG;CE;;Membre;Conservateurs;1861-06-02;1857-07-07;
FAUX;Bonaventura;Baumgartner;m;SO;CN;Gauche;Membre;Démocrates;1875-06-02;1875-03-09;
FAUX;Franz;Baumgartner;m;ZH;CN;Non inscrit;Membre;Groupe républicain et national;1979-11-25;1979-03-05;
FAUX;Alfred;Baumgartner;m;SG;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1944-03-20;1942-03-17;
FAUX;Emil;Baumgartner;m;BE;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1967-12-03;1955-12-05;
FAUX;David;Baumgartner;m;GL;CN;Groupe socialiste;Membre;Parti socialiste suisse;1978-03-09;1965-09-20;
FAUX;Martin;Bäumle;m;ZH;CN;Groupe PDC/PEV/PVL;Membre;Parti vert'libéral;2011-12-04;2007-12-03;
FAUX;Martin;Bäumle;m;ZH;CN;Non inscrit;Membre;Parti écologiste suisse;2007-12-02;2003-12-01;
FAUX;Martin;Bäumle;m;ZH;CN;Groupe des Verts;Membre;Parti écologiste suisse;2007-12-02;2003-12-01;
FAUX;Martin;Bäumle;m;ZH;CN;Groupe vert'libéral;Membre;Parti vert'libéral;2015-11-29;2011-12-05;
VRAI;Martin;Bäumle;m;ZH;CN;Groupe vert'libéral;Membre;Parti vert'libéral;;2015-11-30;
FAUX;Richard;Bäumlin;m;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1989-11-26;1979-09-17;
FAUX;Ursula;Bäumlin;f;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1995-12-03;1987-11-30;
FAUX;Ursula;Bäumlin;f;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1998-12-15;1995-12-04;
FAUX;Johann Baptist;Bavier;m;GR;CN;Centre;Membre;Libéral;1856-09-20;1848-11-07;
FAUX;Simeon;Bavier;m;GR;CF;;;Libéral;1883-01-06;1878-12-11;
FAUX;Simeon;Bavier;m;GR;CN;Centre;Membre;Libéral;1878-12-02;1863-12-08;
FAUX;Carl;Beck;m;LU;CN;Groupe conservateur-catholique;Membre;Conservateurs;1959-12-06;1943-12-06;
FAUX;Serge;Beck;m;VD;CN;Groupe libéral;Membre;Parti libéral suisse;2003-11-30;1998-09-28;
FAUX;Marcel;Beck;m;ZH;CN;Non inscrit;Membre;Démocrates;1967-12-03;1965-03-01;
FAUX;Franz Xaver;Beck;m;LU;CN;;Membre;Conservateurs;1894-08-31;1869-12-07;
FAUX;Serge;Beck;m;VD;CN;Groupe radical-libéral;Membre;Parti libéral suisse;2007-12-02;2003-12-01;
FAUX;Fritz;Beck;m;ZH;CN;Groupe communiste;Membre;Parti communiste;1928-12-02;1925-12-07;
FAUX;Christine;Beerli;f;BE;CE;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1995-12-03;1991-12-10;
FAUX;Christine;Beerli;f;BE;CE;Groupe radical-libéral;Président(e);Parti radical-démocratique suisse;2003-11-30;1995-12-04;
FAUX;Christine;Beerli;f;BE;CE;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2003-11-30;1995-12-04;
VRAI;Claude;Béglé;m;VD;CN;Groupe PDC;Membre;Parti démocrate-chrétien suisse;;2015-11-30;
FAUX;Michel;Béguelin;m;VD;CE;Groupe socialiste;Membre;Parti socialiste suisse;2007-12-02;2003-12-01;
FAUX;Michel;Béguelin;m;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;1999-12-05;1995-12-04;
FAUX;Michel;Béguelin;m;VD;CE;Groupe socialiste;Membre;Parti socialiste suisse;2003-11-30;1999-12-06;
FAUX;Michel;Béguelin;m;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;1995-12-03;1987-11-30;
FAUX;Ernest;Béguin;m;NE;CE;Groupe radical-démocratique;Président(e);Parti radical-démocratique suisse;1942-06-01;1921-06-06;
FAUX;Louis;Béguin;m;VD;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1935-12-01;1931-12-01;
FAUX;Thierry;Béguin;m;NE;CE;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1999-12-05;1987-11-30;
FAUX;Thierry;Béguin;m;NE;CE;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1999-12-05;1987-11-30;
FAUX;Ernest;Béguin;m;NE;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1942-06-01;1921-06-06;
FAUX;Ernest;Béguin;m;NE;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1942-06-01;1921-06-06;
FAUX;Albert;Belmont;m;BS;CN;Groupe socialiste;Membre;Parti socialiste suisse;1925-12-06;1919-12-01;
FAUX;Eduard;Belser;m;BL;CE;Groupe socialiste;Membre;Parti socialiste suisse;1987-11-29;1979-11-26;
FAUX;Peter;Benninger;m;FR;CN;Groupe conservateur-catholique;Membre;Conservateurs;1937-07-24;1928-12-03;
FAUX;Rudolf;Benz;m;ZH;CN;Groupe libéral démocrate;Membre;Libéral;1869-12-06;1848-11-07;
FAUX;Nikolaus;Benziger;m;SZ;CE;;Membre;Conservateurs;1908-11-24;1905-12-04;
FAUX;Nikolaus;Benziger;m;SZ;CN;;Membre;Conservateurs;1905-12-03;1883-04-03;
FAUX;Josef Karl;Benziger;m;SZ;CN;Centre;Membre;Conservateurs;1866-12-03;1863-12-08;
FAUX;Didier;Berberat;m;NE;CN;Groupe socialiste;Membre;Parti socialiste suisse;2003-11-30;1999-12-06;
FAUX;Didier;Berberat;m;NE;CN;Groupe socialiste;Membre;Parti socialiste suisse;2009-09-20;2007-12-03;
FAUX;Didier;Berberat;m;NE;CE;Groupe socialiste;Membre;Parti socialiste suisse;2011-12-04;2009-09-21;
VRAI;Didier;Berberat;m;NE;CE;Groupe socialiste;Membre;Parti socialiste suisse;;2015-11-30;
FAUX;Didier;Berberat;m;NE;CE;Groupe socialiste;Membre;Parti socialiste suisse;2015-11-29;2011-12-05;
FAUX;Didier;Berberat;m;NE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1999-12-05;1995-12-04;
FAUX;Didier;Berberat;m;NE;CN;Groupe socialiste;Membre;Parti socialiste suisse;2007-12-02;2003-12-01;
FAUX;Heinrich;Berchtold;m;ZH;CN;Non inscrit;Membre;Libéral;1907-06-22;1896-03-17;
FAUX;Jean N.-E.;Berchtold;m;FR;CE;Gauche;Membre;Parti radical-démocratique suisse;1854-06-02;1853-07-05;
FAUX;Louis-F.-J.-M.;Berdez;m;VD;CN;Centre;Membre;Libéral;1877-01-02;1873-07-08;
FAUX;Hermann;Berger;m;SO;CN;Groupe socialiste;Membre;Parti socialiste suisse;1971-11-28;1963-12-02;
FAUX;Michèle-Irène;Berger;f;NE;CE;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2003-11-30;1999-12-06;
FAUX;Philippe-Henri;Berger;m;NE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1928-12-02;1927-03-23;
FAUX;Gottlieb;Berger;m;BE;CN;;Membre;Parti radical-démocratique suisse;1902-11-30;1881-12-06;
FAUX;Fritz;Berger;m;BS;CN;Groupe conservateur-catholique;Membre;Conservateurs;1963-12-01;1951-12-03;
FAUX;Jean-Pierre;Berger;m;VD;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;1995-12-03;1983-11-28;
FAUX;Philippe-Henri;Berger;m;NE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1925-12-06;1919-12-01;
FAUX;Gallus;Berger;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1971-11-28;1955-12-05;
FAUX;Claude;Berger;m;NE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1967-12-03;1955-06-06;
FAUX;Johann Georg;Berlinger;m;SG;CN;;Membre;Parti radical-démocratique suisse;1900-08-29;1890-12-02;
FAUX;Madeleine;Bernasconi;f;GE;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2003-11-30;1999-12-06;
FAUX;Cesare;Bernasconi;m;TI;CN;;Membre;Parti radical-démocratique suisse;1860-10-02;1855-07-03;
FAUX;Costantino;Bernasconi;m;TI;CN;;Membre;Parti radical-démocratique suisse;1893-10-02;1882-06-06;
FAUX;Costantino;Bernasconi;m;TI;CE;;Membre;Parti radical-démocratique suisse;1875-03-02;1874-07-02;
FAUX;Costantino;Bernasconi;m;TI;CN;;Membre;Parti radical-démocratique suisse;1872-12-02;1863-12-08;
FAUX;Friedrich;Bernet;m;SG;CN;Gauche démocratique;Membre;Grutléens;1869-12-06;1864-07-05;
FAUX;John (Jean-M.-E.);Berney;m;VD;CN;Gauche;Membre;Centre-gauche;1866-12-03;1863-12-08;
FAUX;Hans;Bernhard;m;ZH;CE;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1942-04-08;1940-02-19;
FAUX;Urs;Bernhardsgrütter;m;SG;CN;Groupe des Verts;Membre;Parti écologiste suisse;2007-12-02;2006-06-06;
FAUX;Joseph Leonhard;Bernold;m;SG;CN;Gauche;Membre;Parti radical-démocratique suisse;1857-12-07;1848-11-07;
FAUX;Joseph Leonhard;Bernold;m;SG;CN;Centre;Membre;Parti radical-démocratique suisse;1872-02-20;1860-12-04;
FAUX;Hans;Bernoulli;m;BS;CN;Groupe indépendant;Membre;Alliance des Indépendants;1951-12-02;1947-12-01;
FAUX;Sebastiano;Beroldingen;m;TI;CE;;Membre;Parti radical-démocratique suisse;1857-12-07;1856-07-08;
FAUX;Sebastiano;Beroldingen;m;TI;CE;;Membre;Parti radical-démocratique suisse;1862-02-02;1860-07-04;
VRAI;Alain;Berset;m;FR;CF;;;Parti socialiste suisse;;2011-12-14;
FAUX;Alain;Berset;m;FR;CE;Groupe socialiste;Membre;Parti socialiste suisse;2007-12-02;2003-12-01;
FAUX;Alain;Berset;m;FR;CE;Groupe socialiste;Vice-président(e);Parti socialiste suisse;2011-12-04;2007-12-03;
FAUX;Alain;Berset;m;FR;CE;Groupe socialiste;Vice-président(e);Parti socialiste suisse;2007-12-02;2003-12-01;
FAUX;Alain;Berset;m;FR;CE;Groupe socialiste;Membre;Parti socialiste suisse;2011-12-31;2011-12-05;
FAUX;Henri;Bersier;m;VD;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1924-05-31;1917-12-03;
FAUX;Raymond;Bertholet;m;GE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1967-12-03;1963-12-02;
FAUX;Henri;Berthoud;m;NE;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1928-12-02;1923-04-23;
FAUX;Jean Ed.;Berthoud;m;NE;CE;;Membre;Parti radical-démocratique suisse;1908-06-01;1896-12-08;
FAUX;Fritz;Berthoud;m;NE;CN;Gauche;Membre;Parti radical-démocratique suisse;1878-12-02;1872-12-03;
FAUX;Jean Ed.;Berthoud;m;NE;CE;;Membre;Parti radical-démocratique suisse;1889-06-02;1883-07-02;
FAUX;Henri;Berthoud;m;NE;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1947-11-30;1931-03-16;
FAUX;Fritz;Berthoud;m;NE;CE;Gauche;Membre;Parti radical-démocratique suisse;1872-05-02;1871-07-04;
FAUX;Brenno;Bertoni;m;TI;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1935-12-01;1920-04-19;
FAUX;Ambrogio;Bertoni;m;TI;CE;;Membre;Parti radical-démocratique suisse;1853-02-02;1852-07-06;
FAUX;Ambrogio;Bertoni;m;TI;CE;;Membre;Parti radical-démocratique suisse;1862-02-02;1860-07-05;
FAUX;Brenno;Bertoni;m;TI;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1920-03-01;1914-03-23;
FAUX;F. Theodor;Bertschinger;m;AG;CN;Centre;Membre;Libéral;1872-12-02;1866-12-04;
FAUX;Carl;Bertschinger;m;ZH;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1935-12-01;1917-12-03;
FAUX;Kathrin;Bertschy;f;BE;CN;Groupe vert'libéral;Membre;Parti vert'libéral;2015-11-29;2011-12-05;
VRAI;Kathrin;Bertschy;f;BE;CN;Groupe vert'libéral;Membre;Parti vert'libéral;;2015-11-30;
FAUX;François;Besson;m;GE;CN;;Membre;Parti radical-démocratique suisse;1910-01-01;1908-12-07;
FAUX;Roger;Besuchet;m;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;1979-11-25;1975-12-01;
FAUX;J.-François;Bettex;m;VD;CN;Gauche;Membre;Parti radical-démocratique suisse;1851-12-01;1848-11-07;
FAUX;Gustave-François;Bettex;m;VD;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1921-03-18;1917-12-03;
FAUX;Duri;Bezzola;m;GR;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1995-12-03;1991-01-21;
FAUX;Andreas;Bezzola;m;GR;CN;;Président(e);Parti radical-démocratique suisse;1893-12-04;1881-12-06;
FAUX;Andreas;Bezzola;m;GR;CE;;Membre;Parti radical-démocratique suisse;1881-06-02;1880-06-08;
FAUX;Andreas;Bezzola;m;GR;CN;;Membre;Parti radical-démocratique suisse;1893-12-04;1881-12-06;
FAUX;Duri;Bezzola;m;GR;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2007-03-04;2003-12-01;
FAUX;Duri;Bezzola;m;GR;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2003-11-30;1995-12-04;
FAUX;Andreas;Bezzola;m;GR;CN;;Membre;Parti radical-démocratique suisse;1893-12-04;1881-12-06;
FAUX;Martin;Bider;m;BL;CN;Centre;Membre;Libéral;1872-12-02;1868-07-07;
FAUX;Paul;Biderbost;m;VS;CN;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;1983-11-27;1975-12-01;
FAUX;Daniel;Bieder;m;BL;CN;Gauche;Membre;Parti radical-démocratique suisse;1863-12-07;1857-12-08;
FAUX;Walter;Biel;m;ZH;CN;Groupe indépendant et évangelique;Membre;Alliance des Indépendants;1991-11-24;1967-12-04;
FAUX;Otto;Bienz;m;BE;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1966-06-01;1959-12-07;
FAUX;Ernst;Bieri;m;ZH;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1971-11-28;1967-12-04;
